x,L,u,e,tau_xx,tau_yy,tau_zz
0.32168,0.90712,1.6637,0.66263,0.95193,-0.17726,-0.71173
0.32268,0.90684,1.6663,0.66178,0.95351,-0.17757,-0.7128
0.32368,0.90655,1.669,0.66094,0.95509,-0.17788,-0.71387
0.32468,0.90627,1.6716,0.66009,0.95667,-0.17819,-0.71495
0.32567,0.90599,1.6743,0.65925,0.95826,-0.17851,-0.71602
0.32667,0.9057,1.6769,0.65841,0.95985,-0.17882,-0.7171
0.32767,0.90542,1.6796,0.65757,0.96144,-0.17914,-0.71818
0.32867,0.90514,1.6823,0.65672,0.96304,-0.17945,-0.71926
0.32967,0.90485,1.685,0.65589,0.96463,-0.17977,-0.72034
0.33067,0.90457,1.6877,0.65505,0.96623,-0.18009,-0.72142
0.33167,0.90429,1.6903,0.65421,0.96784,-0.18041,-0.72251
0.33267,0.90401,1.693,0.65337,0.96944,-0.18072,-0.72359
0.33367,0.90372,1.6957,0.65254,0.97105,-0.18104,-0.72468
0.33467,0.90344,1.6984,0.65171,0.97266,-0.18136,-0.72577
0.33566,0.90316,1.7011,0.65087,0.97428,-0.18168,-0.72686
0.33666,0.90287,1.7039,0.65004,0.9759,-0.182,-0.72796
0.33766,0.90259,1.7066,0.64921,0.97752,-0.18233,-0.72905
0.33866,0.90231,1.7093,0.64838,0.97914,-0.18265,-0.73015
0.33966,0.90203,1.712,0.64755,0.98076,-0.18297,-0.73125
0.34066,0.90174,1.7147,0.64672,0.98239,-0.18329,-0.73235
0.34166,0.90146,1.7175,0.6459,0.98402,-0.18362,-0.73345
0.34266,0.90118,1.7202,0.64507,0.98566,-0.18394,-0.73455
0.34366,0.9009,1.7229,0.64425,0.98729,-0.18427,-0.73566
0.34466,0.90061,1.7257,0.64342,0.98893,-0.18459,-0.73676
0.34565,0.90033,1.7284,0.6426,0.99057,-0.18492,-0.73787
0.34665,0.90005,1.7312,0.64178,0.99222,-0.18525,-0.73898
0.34765,0.89977,1.734,0.64096,0.99387,-0.18558,-0.74009
0.34865,0.89948,1.7367,0.64014,0.99552,-0.1859,-0.74121
0.34965,0.8992,1.7395,0.63932,0.99717,-0.18623,-0.74232
0.35065,0.89892,1.7423,0.63851,0.99883,-0.18656,-0.74344
0.35165,0.89864,1.745,0.63769,1.0005,-0.18689,-0.74456
0.35265,0.89835,1.7478,0.63687,1.0021,-0.18722,-0.74568
0.35365,0.89807,1.7506,0.63606,1.0038,-0.18756,-0.7468
0.35465,0.89779,1.7534,0.63525,1.0055,-0.18789,-0.74793
0.35564,0.89751,1.7562,0.63444,1.0072,-0.18822,-0.74905
0.35664,0.89722,1.759,0.63362,1.0088,-0.18855,-0.75018
0.35764,0.89694,1.7618,0.63282,1.0105,-0.18889,-0.75131
0.35864,0.89666,1.7646,0.63201,1.0122,-0.18922,-0.75244
0.35964,0.89638,1.7674,0.6312,1.0139,-0.18956,-0.75357
0.36064,0.8961,1.7702,0.63039,1.0155,-0.18989,-0.7547
0.36164,0.89581,1.7731,0.62959,1.0172,-0.19023,-0.75584
0.36264,0.89553,1.7759,0.62878,1.0189,-0.19056,-0.75697
0.36364,0.89525,1.7787,0.62798,1.0206,-0.1909,-0.75811
0.36464,0.89497,1.7816,0.62718,1.0223,-0.19124,-0.75925
0.36563,0.89469,1.7844,0.62637,1.024,-0.19158,-0.76039
0.36663,0.8944,1.7873,0.62557,1.0257,-0.19191,-0.76154
0.36763,0.89412,1.7901,0.62477,1.0274,-0.19225,-0.76268
0.36863,0.89384,1.793,0.62398,1.0291,-0.19259,-0.76383
0.36963,0.89356,1.7958,0.62318,1.0309,-0.19293,-0.76498
0.37063,0.89328,1.7987,0.62238,1.0326,-0.19327,-0.76613
0.37163,0.89299,1.8016,0.62159,1.0343,-0.19361,-0.76728
0.37263,0.89271,1.8044,0.62079,1.036,-0.19396,-0.76843
0.37363,0.89243,1.8073,0.62,1.0377,-0.1943,-0.76959
0.37463,0.89215,1.8102,0.61921,1.0395,-0.19464,-0.77074
0.37562,0.89187,1.8131,0.61841,1.0412,-0.19498,-0.7719
